nom marchand	ID pneu	nom	marque	modèle	Description	type	saison	Run flat	renforcé	prix	prix livraison	délais livraison	url	url image	stock	EAN	Kraftstoffeffizienz (KEK)	Nasshaftung (NHK)	externes Rollgeräusch (RG)	Rollgeräuschklasse (RGK)
123pneus.fr	MOTO-R-325919	Anlas Capra RD 110/80 R19 TL 59V M/C, Roue avant	Anlas	Capra RD	110/80 R19 TL 59V M/C, Roue avant	pneus moto	Pneus moto			77.60	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-325919&Country=FR	http://www.tyre-pictures.com/Anlas/CapraRD.jpg	oui	8681212862437			0	
123pneus.fr	MOTO-R-325920	Anlas Capra RD 120/70 R19 TL 60V M/C, Roue avant	Anlas	Capra RD	120/70 R19 TL 60V M/C, Roue avant	pneus moto	Pneus moto			83.70	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-325920&Country=FR	http://www.tyre-pictures.com/Anlas/CapraRD.jpg	oui	8681212861355			0	
123pneus.fr	MOTO-R-325922	Anlas Capra RD 150/70 R17 TL 69V roue arrière, M/C	Anlas	Capra RD	150/70 R17 TL 69V roue arrière, M/C	pneus moto	Pneus moto			97.80	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-325922&Country=FR	http://www.tyre-pictures.com/Anlas/CapraRD.jpg	oui	8681212862444			0	
123pneus.fr	MOTO-R-325924	Anlas Capra RD 170/60 R17 TL 72V roue arrière, M/C	Anlas	Capra RD	170/60 R17 TL 72V roue arrière, M/C	pneus moto	Pneus moto			99.20	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-325924&Country=FR	http://www.tyre-pictures.com/Anlas/CapraRD.jpg	oui	8681212861416			0	
123pneus.fr	MOTO-D-122171	Anlas CapraR 100/90-19 TT 57H Roue avant	Anlas	CapraR	100/90-19 TT 57H Roue avant	pneus moto	Pneus moto			60.90	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-D-122171&Country=FR	http://www.tyre-pictures.com/Anlas/CapraR.jpg	oui	6263			0	
123pneus.fr	MOTO-D-122172	Anlas CapraR 120/90-17 TT 64S Roue avant	Anlas	CapraR	120/90-17 TT 64S Roue avant	pneus moto	Pneus moto			55.80	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-D-122172&Country=FR	http://www.tyre-pictures.com/Anlas/CapraR.jpg	oui	6264			0	
123pneus.fr	MOTO-R-279797	Anlas CapraR 110/80 R19 TL 59V Roue avant	Anlas	CapraR	110/80 R19 TL 59V Roue avant	pneus moto	Pneus moto			67.30	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-279797&Country=FR	http://www.tyre-pictures.com/Anlas/CapraR.jpg	oui	8681212861874			0	
123pneus.fr	MOTO-R-279798	Anlas CapraR 150/70 R17 TL 69V roue arrière	Anlas	CapraR	150/70 R17 TL 69V roue arrière	pneus moto	Pneus moto			112.00	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-279798&Country=FR	http://www.tyre-pictures.com/Anlas/CapraR.jpg	oui				0	
123pneus.fr	MOTO-R-265653	Anlas CapraX 150/70B17 TL 69Q roue arrière, Marquage M+S, M/C	Anlas	CapraX	150/70B17 TL 69Q roue arrière, Marquage M+S, M/C	pneus moto	Pneus moto			95.00	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-265653&Country=FR	http://www.tyre-pictures.com/Anlas/CapraX.jpg	oui	8681212861133			0	
123pneus.fr	MOTO-R-277793	Anlas CapraX 90/90B21 TL 54T Marquage M+S, M/C, Roue avant	Anlas	CapraX	90/90B21 TL 54T Marquage M+S, M/C, Roue avant	pneus moto	Pneus moto			60.90	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-277793&Country=FR	http://www.tyre-pictures.com/Anlas/CapraX.jpg	oui	8681212861348			0	
123pneus.fr	MOTO-R-279794	Anlas CapraX 140/80B17 TL 69R Marquage M+S, roue arrière, M/C	Anlas	CapraX	140/80B17 TL 69R Marquage M+S, roue arrière, M/C	pneus moto	Pneus moto			82.80	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-279794&Country=FR	http://www.tyre-pictures.com/Anlas/CapraX.jpg	oui				0	
123pneus.fr	MOTO-R-279796	Anlas CapraX 150/70B18 TL 70T roue arrière, Marquage M+S, M/C	Anlas	CapraX	150/70B18 TL 70T roue arrière, Marquage M+S, M/C	pneus moto	Pneus moto			114.70	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-279796&Country=FR	http://www.tyre-pictures.com/Anlas/CapraX.jpg	oui	8681212862086			0	
123pneus.fr	MOTO-R-259096	Anlas MB-80 110/70-11 TL 45M	Anlas	MB-80	110/70-11 TL 45M	pneus moto	Pneus moto			33.00	0.00	3-6 jours	http://www.123pneus.fr/cgi-bin/rshop.pl?dsco=125&partner=1&ID=tarmo_moto&typ=MOTO-R-259096&Country=FR	http://www.tyre-pictures.com/Anlas/MB-80.jpg	oui				0	
